"seed","mt_time","mef_time","mt_miscl","mef_miscl","mt_fe","mef_fe","config"
25,0.0910000000003492,3479.64,0,0.533333333333333,0.963389111079033,0.763021362137651,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
26,0.0980000000126893,998.12999999999,0,0.4,0.960617589881665,0.905861636647018,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
27,0.0999999999912689,6274.179,0,0.533333333333333,0.962191174610426,0.586852694781256,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
28,0.0969999999942956,5649.904,0,0.466666666666667,0.943836175185559,0.852087385083211,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
29,0.0990000000019791,3225.939,0,0.533333333333333,0.97198441884809,0.840977025103717,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
30,0.119000000006054,1047.62999999999,0,0.2,0.959319983506489,0.684277331862607,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
31,0.11699999999837,5592.80499999999,0,0.533333333333333,0.96543013220407,0.825472734545545,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
32,0.114000000001397,5229.865,0,0.533333333333333,0.982216487042553,0.837321232662707,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
33,0.0999999999912689,3425.365,0,0.533333333333333,0.973508471201632,0.646935733685408,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
34,0.111000000004424,6518.958,0,0.533333333333333,0.973664480689707,0.696794367641102,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
35,0.13300000000163,3456,0,0.533333333333333,0.974823822293046,0.833299263975205,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
36,0.0950000000011642,2158.031,0,0.266666666666667,0.980756706823044,0.911974180159603,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
37,0.108000000007451,5015.162,0,0.533333333333333,0.975771534708073,0.864582301506244,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
38,0.0979999999981374,5760.149,0,0.6,0.963241882427492,0.595541564118318,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
39,0.0939999999973224,4659.23300000001,0,0.4,0.982557581129871,0.815298904245113,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
40,0.111000000004424,3247.22799999999,0,0.466666666666667,0.947238812710243,0.554568017502043,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
41,0.0970000000088476,7532.16700000002,0,0.533333333333333,0.978472275068244,0.625519641722772,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
42,0.092000000004191,6548.51199999999,0,0.533333333333333,0.955866825458804,0.738725496436843,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
43,0.107999999978347,5480.81299999999,0,0.4,0.97807735386279,0.739622410169141,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
44,0.105999999999767,4868.62400000001,0,0.533333333333333,0.962584592249851,0.752501681489572,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
45,0.0980000000272412,8697.625,0,0.266666666666667,0.946625170606607,0.646982487315466,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
46,0.106999999989057,1759.01000000001,0,0.466666666666667,0.980094137666264,0.609953598418648,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
47,0.0970000000088476,2414.402,0,0.533333333333333,0.97036957006283,0.478899965522624,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
48,0.10299999997369,2510.71900000001,0,0.4,0.965986932912672,0.892789679685446,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
49,0.127000000007683,2940.823,0,0.533333333333333,0.969094373573321,0.705247952911927,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
50,0.0999999999767169,4017.207,0,0.466666666666667,0.970324312537007,0.598997984735258,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
51,0.100000000005821,4320.12399999998,0,0.4,0.973014499331569,0.789520128937412,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
